COD_SECRE;ANNO;SPD_SECRETARIA;SPD_COD_SECRE;SPD_COD_DEPTO;SPD_NOMBRE_DEPTO;SPD_COD_MUN;SPD_NOMBRE_MUN;ID_EE;SPD_DANE_EE;SPD_NOM_ESTABLECIMIENTO;ID_SEDE;SPD_DANE_SEDE;SPD_NOMBRE_SEDE;TIPO_DOC;SPD_RAZON_DESERC_TRABAJAR;SPD_RAZON_DESERC_PADRES_A_TEMPRANA_EDAD;SPD_RAZON_DESERC_SALUD_DEL_ESTUDIANTE;SPD_RAZON_DESERC_EXTRAEDAD;SPD_RAZON_DESERC_BAJO_RENDIMIENTO_ESCOLAR;SPD_RAZON_DESERC_PROBLEMAS_DE_LECTURA;SPD_RAZON_DESERC_PROBLEMAS_DE_ESCRITURA;SPD_RAZON_DESERC_PROBLEMAS_DE_ORALIDAD;SPD_RAZON_DESERC_EXPULSION_DE_ESTUDIANTE;SPD_RAZON_DESERC_REPITENCIA;SPD_RAZON_DESERC_POCO_GUSTO_POR_EL_ESTUDIO;SPD_RAZON_DESERC_DIFICULTADES_ACADEMICAS;SPD_RAZON_DESERC_LAS_METODOLOGÍAS_Y_PROCESOS_PEDAGÓGICOS_NO_RESPONDEN_A_SUS_PARTICULARIDADES;SPD_RAZON_DESERC_NO_EXISTE_FORMACIÓN_SOBRE_PLAN_DE_VIDA;SPD_RAZON_DESERC_NO_EXISTE_ORIENTACIÓN_SOCIO-OCUPACIONAL;SPD_RAZON_DESERC_PIENSA_QUE_EL_ESTUDIO_NO_LE_SERVIRÁ_DE_NADA;SPD_RAZON_DESERC_CAMBIO_DE_RESIDENCIA;SPD_RAZON_DESERC_DESEMPLEO_DE_LOS_PADRES_O_ACUDIENTES;SPD_RAZON_DESERC_MUERTE_DE_LOS_PADRES;SPD_RAZON_DESERC_DESPLAZAMIENTO_FORZADO;SPD_RAZON_DESERC_POCA_IMPORTANCIA_A_LA_EDUCACIÓN_POR_PARTE_DE_LOS_PADRES_O_ACUDIENTES;SPD_RAZON_DESERC_CAMBIO_DE_PAIS;SPD_RAZON_DESERC_HACINAMIENTO;SPD_RAZON_DESERC_PROBLEMAS_INFRAESTRUCTURA;SPD_RAZON_DESERC_TRATO_AGRESIVO;SPD_RAZON_DESERC_DISCRIMINACION;SPD_RAZON_DESERC_ESTABLECIMIENTO_EN_ZONA_NO_SEGURA;SPD_RAZON_DESERC_ESTABLECIMIENTO_EN_ZONA_LEJANA;SPD_RAZON_DESERC_ESTABLECIMIENTO_EN_ZONA_DE_DESASTRES;SPD_RAZON_DESERC_OFERTA_INCOMPLETA_DE_GRADOS;SPD_RAZON_DESERC_PLANTA_DOCENTE_INCOMPLETA;SPD_RAZON_DESERC_INSUFICIENCIA_ATENCION_PSICOSOCIAL;SPD_RAZON_DESERC_PRACTICAS_PEDAGOGICAS_INADECUADAS;SPD_RAZON_DESERC_JORNADAS_NO_ADECUADAS_AL_TIEMPO_DEL_ESTUDIANTE;SPD_RAZON_DESERC_COSTOS_EDUCATIVOS;SPD_RAZON_DESERC_OFERTA_NO_INCLUSIVA;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_ESTUDIANTES;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_DOCENTES;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_DIRECTIVOS;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_ESTUDIANTES_Y_DOCENTES;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_ESTUDIANTES_Y_DIRECTIVOS;SPD_RAZON_DESERC_CONFLICTOS_ENTRE_DOCENTES_Y_DIRECTIVOS;SPD_RAZON_DESERC_PANDILLISMO;SPD_RAZON_DESERC_PROSTITUCION;SPD_RAZON_DESERC_DROGADICCION;SPD_RAZON_DESERC_PRESENCIA_DE_GRUPOS_ARMADOS;SPD_RAZON_DESERC_INSEGURIDAD;SPD_RAZON_DESERC_ACOSO_ESCOLAR;SPD_RAZON_DESERC_MATONEO_ESCOLAR_(BULLYING);SPD_RAZON_DESERC_PRESENCIA_DE_MINAS;SPD_RAZON_DESERC_RIESGO_DE_RECLUTAMIENTO;SPD_RAZON_DESERC_CULTIVOS_ILICITOS;SPD_RAZON_DESERC_DISTANCIA_HOGAR_AL_ESTABLECIMIENTO;SPD_RAZON_DESERC_OTRAS;apoyo academico;srpa;ANNO_INF;CODIGO_SED;SECRETARIA;DEPTO;MUN_CODIGO;Divipola_MUNICIPIO;DANE_EE;NOMBRE_ESTABLECIMIENTO;DANE_SEDE;NOMBRE_SEDE;CONS_SEDE;DEPTO_DE_EXPEDICION_DOC;MUN_DE_EXPEDICION_DOC;RES_DEPTO;RES_MUN;ESTRATO;SISBEN;NAC_DEPTO;NAC_MUN;GENERO;POBLACION_VICTIMA_CONFLICTO;DPTO_EXP;MUN_EXP;PROVIENE_DEL_SECTOR_PRIVADO;PROVIENE_DE_OTRO_MUNICIPIO;TIPO_DE_DISCAPACIDAD;CAPACIDADES_EXCEPCIONALES;ETNIA;RESGUARDO;INS_FAMILIAR;JORNADA;CARACTER;ESPECIALIDAD;GRADO;GRUPO;METODOLOGIA;SUBSIDIADO;REPITENTE;NUEVO;SITUACION_ACADEMICA_AÑO_ANTERIOR;CONDICION_DEL_ALUMNO_AL_FINALIZAR_EL_AÑO_ANTERIOR;FUE_RECU;ZONA__ALU;MADRE_CABEZA_DE_FAMILIA;BENEF._MADRE_CABEZA_DE_FLIA;BENEF._VETERANOS;BENEF.HERORES;INTERNADO;NUM_CONVENIO;SEDE_ID;ESTADOSEDE;EST_ID;SECTOR;CALENDARIO;ZONA_DE_ATENCIÓN;EDAD;NIVEL_CONPES;MES_FINAL;MESES_ATENCION_6A;04_ATENDIDO;04_CODIGO_SED;05_ATENDIDO;05_CODIGO_SED;06_ATENDIDO;06_CODIGO_SED;07_ATENDIDO;07_CODIGO_SED;08_ATENDIDO;08_CODIGO_SED;09_ATENDIDO;09_CODIGO_SED;10_ATENDIDO;10_CODIGO_SED;11_ATENDIDO;11_CODIGO_SED;CONPES_POB_ATENDIDA;COD_SED;INDICE_DE_DESERCION;FECHA_CORTE
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2229;176001032055;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL COMUNA 17;63520;176001032055;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL COMUNA 17 - SEDE PRINCIPAL;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001032055;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL COMUNA 17;176001032055;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL COMUNA 17 - SEDE PRINCIPAL;17600103205501;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 4;;VALLE DEL CAUCA;CALI;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;TARDE;NO APLICA;NO APLICA;OCTAVO;0804;NIÑOS Y JÓVENES;NO;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;45182;956;15786;OFICIAL;A;URBANA;13;MEDIA;5;2;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:49.187
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;42309;376001030965;LICEO PIGMALION;81694;376001030965;LICEO PIGMALION;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;376001030965;LICEO PIGMALION;376001030965;LICEO PIGMALION;37600103096501;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 1;;VALLE DEL CAUCA;CALI;FEMENINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;MAÑANA;NO APLICA;NO APLICA;TERCERO;301;NIÑOS Y JÓVENES;SI;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;4143.010.26.1.0437.2025;130443;956;95478;OFICIAL;A;URBANA;7;BÁSICA SECUNDARIA;4;1;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:49.25
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2257;176001007166;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL JOSE MARIA CARBONELL;63375;176001007166;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL JOSE MARIA CARBONELL;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001007166;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL JOSE MARIA CARBONELL;176001007166;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL JOSE MARIA CARBONELL;17600100716601;HUILA;NEIVA;VALLE DEL CAUCA;CALI;ESTRATO 2;;HUILA;NEIVA;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;NOCTURNA;NO APLICA;NO APLICA;CICLO 3 ADULTOS;2301;PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS;NO;SI;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;72079;956;15289;OFICIAL;A;URBANA;16;;4;1;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:02:12.417
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2232;176001029411;INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO;63513;176001003012;MARINO RENGIFO SALCEDO;CC:CÉDULA DE CIUDADANÍA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001029411;INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO;176001003012;MARINO RENGIFO SALCEDO;17600102941102;;;;;ESTRATO 3;;;;MASCULINO;NO ES POBLACION VICTIMA;;;SI;NO;;;NO APLICA;NO APLICA;NO APLICA;ÚNICA;TÉCNICA;COMERCIAL;ONCE;1101;NIÑOS Y JÓVENES;NO;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;72102;956;15789;OFICIAL;A;URBANA;17;SIN NIVEL;10;7;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:02:12.44
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2258;176001007131;INSTITUCION EDUCATIVA CARLOS HOLMES TRUJILLO;63443;176001007131;INSTITUCION EDUCATIVA CARLOS HOLMES TRUJILLO - SEDE PRINCIPAL;PPT: PERMISO DE PROTECCIÃ¿N TEMPORAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001007131;INSTITUCION EDUCATIVA CARLOS HOLMES TRUJILLO;176001007131;INSTITUCION EDUCATIVA CARLOS HOLMES TRUJILLO - SEDE PRINCIPAL;17600100713101;BOGOTÁ, D.C.;BOGOTÁ, D.C.;VALLE DEL CAUCA;CALI;ESTRATO 2;;VALLE DEL CAUCA;CALI;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;MAÑANA;NO APLICA;NO APLICA;OCTAVO;0801;NIÑOS Y JÓVENES;NO;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;45164;956;15290;OFICIAL;A;URBANA;14;MEDIA;7;4;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:33.46
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2216;276001011354;INSTITUCION EDUCATIVA MONTEBELLO;63593;276001011354;ANTONIO RICAURTE - SEDE PRINCIPAL;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;276001011354;INSTITUCION EDUCATIVA MONTEBELLO;276001011354;ANTONIO RICAURTE - SEDE PRINCIPAL;27600101135401;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 2;;VALLE DEL CAUCA;CALI;MASCULINO;SI ES POBLACION VICTIMA;;;NO;SI;;;AFRODESCENDIENTE;NO APLICA;NO APLICA;TARDE;NO APLICA;NO APLICA;SEXTO;0602;NIÑOS Y JÓVENES;NO;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;71958;956;15773;OFICIAL;A;RURAL;11;MEDIA;7;4;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:33.473
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;102031;376001043455;INSTITUCION EDUCATIVA NELSON GARCÉS VERNAZA;178135;376001043455;INSTITUCION EDUCATIVA NELSON GARCÉS VERNAZA  - SEDE PRINCIPAL;RC:REGISTRO CIVIL DE NACIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;376001043455;INSTITUCION EDUCATIVA NELSON GARCÉS VERNAZA;376001043455;INSTITUCION EDUCATIVA NELSON GARCÉS VERNAZA  - SEDE PRINCIPAL;37600104345501;;;;;ESTRATO 1;;;;MASCULINO;NO ES POBLACION VICTIMA;;;SI;NO;;;AFRODESCENDIENTE;NO APLICA;NO APLICA;ÚNICA;NO APLICA;NO APLICA;PRIMERO;0103;NIÑOS Y JÓVENES;SI;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;4143.010.26.1.0483.2025;155464;956;115113;OFICIAL;A;URBANA;5;BÁSICA SECUNDARIA;10;7;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:34.837
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;969594;176001800052;INSTITUCION EDUCATIVA OFICIAL  LLANO VERDE;1178719;176001800087;CALIMIO DESEPAZ;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001800052;INSTITUCION EDUCATIVA OFICIAL  LLANO VERDE;176001800087;CALIMIO DESEPAZ;17600180005203;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 1;;VALLE DEL CAUCA;CALI;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;AFRODESCENDIENTE;NO APLICA;NO APLICA;MAÑANA;NO APLICA;NO APLICA;OCTAVO;0801;NIÑOS Y JÓVENES;NO;SI;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;188148;956;143987;OFICIAL;A;URBANA;16;MEDIA;7;4;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 08:00:34.85
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;34595;376001014404;CENTRO DOCENTE LICEO MARISOL;66449;376001014404;CENTRO DOCENTE LICEO MARISOL;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;376001014404;CENTRO DOCENTE LICEO MARISOL;376001014404;CENTRO DOCENTE LICEO MARISOL;37600101440401;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 1;;VALLE DEL CAUCA;CALI;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;TARDE;NO APLICA;NO APLICA;PRIMERO;0101;NIÑOS Y JÓVENES;SI;SI;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;4143.010.26.1.0392.2025;123944;956;88978;OFICIAL;A;URBANA;7;BÁSICA SECUNDARIA;7;4;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 07:59:06.883
188;2025;CALI;188;76;VALLE DEL CAUCA;76001;CALI;2295;176001001729;INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ;63326;176001001729;INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ;TI:TARJETA DE IDENTIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2025;188;CALI;VALLE DEL CAUCA;1;CALI;176001001729;INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ;176001001729;INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ;17600100172901;VALLE DEL CAUCA;CALI;VALLE DEL CAUCA;CALI;ESTRATO 3;;VALLE DEL CAUCA;CALI;MASCULINO;NO ES POBLACION VICTIMA;;;NO;SI;;;NO APLICA;NO APLICA;NO APLICA;MAÑANA;NO APLICA;NO APLICA;SEPTIMO;0701;NIÑOS Y JÓVENES;NO;NO;SI;;;SGP;URBANA;NO;NO;NO;NO;NINGUNO;;72642;956;15195;OFICIAL;A;URBANA;14;MEDIA;4;1;;;;;;;;;;;;;;;0;188;;188;;2025-12-13 07:59:06.927
